zero five twelve thirteen fourteen seven zero four eleven eighteen twentyfive thirtytwo thirtythree thirtyfour thirtyfive fortytwo fortyone forty thirtynine fortysix fortyfive thirtyeight thirtyone thirty thirtyone twentyfour seventeen eighteen nineteen twenty twentyone fifteen sixteen nine two three zero five zero
24
zero six
three three
five five
seven seven
nine nine
eleven eleven
twelve twelve
thirteen thirteen
fourteen fourteen
fifteen fifteen
sixteen sixteen
eighteen eighteen
nineteen nineteen
twenty twenty
twentyfive twentyfive
thirtyone thirtyone
thirtytwo thirtytwo
thirtyfour thirtyfour
thirtyfive thirtyfive
thirtyeight thirtyseven thirtyeight
forty forty
fortytwo fortytwo
fortyfive fortyfive
fortysix fortysix
