x115 x64 x98 x62 x20 x33 x136 x0 x7 x34 x32 x40 x17 x15 x103 x27 x11 x130 x106 x138 x48 x54 x16 x92 x57 x73 x43 x8 x5 x21 x61 x127 x84 x5 x94 x83 x9 x76 x69 x111 x109 x124 x125 x91 x52 x1 x74 x50 x71 x44 x6 x89 x4 x17 x122 x6 x31 x58 x26 x4 x59 x115
53
x0 x108
x4 x4
x5 x5
x7 x41
x9 x9
x11 x11
x15 x15
x16 x16
x17 x17
x20 x20 x81 x38
x21 x21
x26 x26
x27 x27
x32 x32
x33 x33 x13
x34 x34
x40 x40
x43 x43
x44 x44
x48 x48
x50 x50
x52 x52
x54 x54
x57 x57
x58 x58
x59 x59
x61 x61
x62 x82 x62 x53
x64 x75 x64
x69 x69
x71 x71
x73 x73
x74 x74
x76 x76
x83 x83
x84 x84
x89 x89
x91 x91
x92 x92
x94 x94
x98 x98
x103 x103
x106 x106
x109 x109
x111 x111
x115 x128 x114
x122 x122
x124 x124
x125 x125
x127 x127
x130 x130
x136 x136
x138 x138
