Soda a b b0 b c c0 c d d1 d e f f0 f g g0 g h i i1 i j j0 j k l l0 l k k0 k j i h h0 h g f e e1 e d c b a a0 a Soda 66 75 76 77 78 79 78 77 76 75 66 67 85 86 87 88 89 88 87 86 85 67 68 69 68 90 91 92 93 94 93 92 91 90 68 95 96 97 98 99 98 97 96 95 68 67 80 81 82 83 84 83 82 81 80 67 66 70 71 72 73 74 73 72 71 70 66 Soda o p r s u w y w u s r p o Soda 50 55 50 54 50 51 52 60 52 53 64 53 63 53 52 61 52 51 57 51 58 51 50 Soda
46
a a1
b b1
c c1
d d0
e e0
f f1
g g1
h h1
i i0
j j1
k k1
l l1
a0 a0
b0 b0
c0 c0
d1 d1
e1 e1
f0 f0
g0 g0
h0 h0
i1 i1
j0 j0
k0 k0
l0 l0
y y
54 54
55 55 56
57 57
58 58 59
60 60
61 61 62
63 63
64 64 65
69 69
72 72
74 74
77 77
79 79
82 82
84 84
87 87
89 89
92 92
94 94
97 97
99 99
