Soda A F O X O F A Soda a0 c5 b2 e5 b1 e7 e6 b3 c7 b2 e3 c4 a0 Soda C2 D4 E1 C3 D7 D5 C9 Soda a0 c2 d4 e1 c3 d7 d5 c9 a0 Soda A C I C A Soda A D K AI AU AS AI AH AK AJ T K D A Soda C9 A7 B8 D1 D9 B9 C10 A7 C9 Soda a0 c9 a7 a1 d5 c9 a0 a5 a9 b7 d3 c1 b5 a8 a3 a4 a9 a5 a0 Soda A E A G N Y Z AB H B A Soda A5 D6 D3 C1 B5 B7 A4 B7 A9 A5 Soda a i x u an ao ap y j aa z as at aa j i a e p af ag o n d a Soda C5 E3 B2 C7 B3 E6 E7 B1 E5 B2 C5 Soda a h ak t al s g a b k ab av ac ax l ad m b a Soda a0 c9 a7 c10 b9 d9 d1 b8 a7 c9 a0 Soda
82
A4 A3
A5 A5
A7 A1 A7
A9 A9
B1 B1
B3 B3
B5 B5
B7 B7
B9 B9
C1 C1
C3 C3
C5 C5
C7 C7
C9 C9
D1 D1
D3 D3
D5 D5
D7 D7
D9 D9
E1 E1
E3 E3
E5 E5
E7 E7
E P AG Q
H H
I J AF
N N
T T
X AC AO
Y AP
AB AB
AK AW
AS AS
AU AU
b b
d d
g f
h h
j j
l l
n n
p p
t t
u v
x x
z z
ab ab
ad ad
af af
ag ah
ak r aj
al al
an an
ap ap
as ar
at at
av av
ax ax
a1 a1
a3 a3
a5 a5
a7 a7
a9 a9
b1 b1
b3 b3
b5 b5
b7 b7
b9 b9
c1 c1
c3 c3
c5 c5
c7 c7
c9 c9
d1 d1
d3 d3
d5 d5
d7 d7
d9 d9
e1 e1
e3 e3
e5 e5
e7 e7
