USG EMJ TWC OJJ KHL BJT RAI IUT KXU NMY VKQ GIG UWO VFE QUA IRG AKT UQJ WRP WIF FPK STN TFP ZBM CMD CRY ZLI DZG KND OEK HOD BYF LYL SJL TIB DZD MBE DPP STT BFD IUL POT VYE GJX NRV SCZ QFZ WSF XIG KJA PST USG
49
USG EMI
QUA QUA
OEK OEK
KJA KJA
WSF WSF
DZG DZG
IUT IUT
VKQ VKQ
KND KND
BFD BFD
TIB TIB
NMY NMY
GIG GIG
KXU KXU
STT STT
TFP TFP
ZLI ZLI
RAI RAI
HOD HOD
VFE VFE
FPK FPK
DZD DZD
ZBM ZBM
BYF BYF
STN STN
DPP DPP
MBE MBE
NRV NRV
CMD CMD
UQJ UQJ
WRP WRP
IRG IRG
QFZ QFZ
EMJ EMJ
SJL SJL
TWC TWC
SCZ SCZ
BJT OKD BJT
GJX GJX
LYL LYL
WIF WIF
KHL KHL
PST PST
OJJ OJJ
XIG XIG
UWO UWO
IUL IUL
AKT AKT
POT POT
